,source,reference,court,nameFirst,nameLast,testator,shipName, dateOfWill,dateOfProbate,role,married,sick,notes,will,summary,transcription,,,,,,,,,,,
29,LMA Microfilm,,C,Thomas,Apcoot,Thomas Apcoot,Thomas ,1613-08-25,1613-11-05,,,,unsure ship name,,,,,,,,,,,,,,
30,,,C,Arthure,Archer,Arthure Archer,Swann,,1620-01-01,,,,,,,,,,,,,,,,,,
31,,,C,Henry,Bamford,Henry Bamford,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
32,LMA Microfilm,9171/19/431,P,Stephen,Bardall,Stephen Bardall,Dragon,1602-09-20,1603-10-22,,,,alternate last name: Burdell,,,,,,,,,,,,,,
33,,,C,Thomas,Barkings,Thomas Barkings,Paulsgrave,,1623-01-01,,,,alternate last name: Barkinge; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
34,,,C,Paul,Bartleson,Paul Bartleson,Paulsgrave,,1621-01-01,,,,alternate last name: Barttleson; alternate last name: Bartlesonn; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
35,LMA Microfilm,,C,ffrauncis,Bell,ffrauncis Bell,James,1612-11-17,1615-09-20,,,,,,,,,,,,,,,,,,
36,,,C,William,Bennis,William Bennis,Trades Increase,,1614-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
37,,,C,John,Bernard,John Bernard,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
38,,,C,Thomas,Blastocke,Thomas Blastocke,,,1609-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
39,LMA Microfilm,,C,William,Blunt,William Blunt,,1613-01-30,1615-01-04,,,,,,,,,,,,,,,,,,
40,,,P,Robert,Bonner,Robert Bonner,,1618-02-06,1620-10-27,,,,,,,,,,,,,,,,,,
41,LMA Microfilm,9171/22/213,C,John,Borrell,John Borrell,Solomon,1612-11-02,1613-10-30,,,,alternate last name: Burrel; Alternate last name: Burrell,,,,,,,,,,,,,,
42,,,P,Richard,Bowden,Richard Bowden,Charles,,1619-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
43,LMA Microfilm,,C,William,Bownes,William Bownes,Trades Increase,1611-06-21,1614-07-09,,,,,,,,,,,,,,,,,,
44,,,P,Humfrey,Boyes,Humfrey Boyes,Blessing,,1629-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
45,,,C,Sam,Bradshaw,Sam Bradshaw,,,1611-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
46,LMA Microfilm,,C,Robert,Brookes,Robert Brookes,Dragon,,1617-07-15,,,,,,,,,,,,,,,,,,
47,LMA Microfilm,,C,John,Brown,John Brown,Clove,1615-04-25,1617-06-30,,,,,,,,,,,,,,,,,,
48,,9171/21/184,C,Thomas,Browne,Thomas Browne,,,1609-10-17,surgeon,,,,,,,,,,,,,,,,,
49,LMA Microfilm,,C,John,Brunchehurste,John Brunchehurste,Trades Increase,,1614-08-02,,,,,,,,,,,,,,,,,,
50,,,C,Jas,Burrowes,Jas Burrowes,Star,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
51,LMA Microfilm,,C,Robert,Carlebey,Robert Carlebey,Consent,1606-03-01,1609-01-21,,,,will date: missing day; corrected ship name: Content,,,,,,,,,,,,,,
52,LMA Microfilm,,C,Samuell,Cavell,Samuell Cavell,,1616-11-02,1617-07-03,,,,,,,,,,,,,,,,,,
53,LMA Microfilm,9171/20/192,C,Owen,Chapman,Owen Chapman,Tiger,1604-10-19,1606-07-15,,,,,,,,,,,,,,,,,,
54,LMA Microfilm,,C,Richard,Chaser,Richard Chaser,Hector,1618-01-13,1617-06-18,,,,alias: Stockton; additonal will: n.d.,,,,,,,,,,,,,,
55,,,C,Josh,Child,Josh Child,James,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
56,LMA Microfilm,,C,John,Chocke,John Chocke,Dragon,1613-12-21,1614-07-30,,,,,,,,,,,,,,,,,,
57,LMA Microfilm,,C,William,Clarke,William Clarke,Diamond,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
58,,,C,Henry,Clarkson,Henry Clarkson,Lion,,1623-01-01,,,,alternate last name: Clerkson; alternate last name: Clarckson; corrected ship name: Lyon; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
59,,,C,William,Clee,William Clee,Globe,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
60,LMA Microfilm,,C,Ralphe,Cocke,Ralphe Cocke,Trades Increase,1613-06-26,1615-01-10,,,,corrected first name: Ra1phe,,,,,,,,,,,,,,
61,LMA Microfilm,,C,Simon,Colfox,Simon Colfox,Clove,1615-04-19,1617-07-14,,,,,,,,,,,,,,,,,,
62,,,C,Obed,Collins,Obed Collins,New Year's Gift,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
63,,11/138/487,P,William,Colwall,William Colwall,Royal James,,1621-11-29,sailor,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
64,LMA Microfilm,9171/22/222,C,Ellis,Comes,Ellis Comes,Hector,1613-08-27,1613-11-16,,,,alternate last name: Combes,,,,,,,,,,,,,,
65,LMA Microfilm,,C,Robert,Coop,Robert Coop,Trades Increase,1613-04-06,1614-06-23,,,,alternate last name: Cooper,,,,,,,,,,,,,,
66,,11/132/333,P,John,Cooper,John Cooper,,,1618-10-04,merchant,,,,,,,,,,,,,,,,,
67,,,C,William,Coumes,William Coumes,James   ,,1620-01-01,,,,alternate last name: Covmes; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
68,,,C,Thomas,Country,Thomas Country,Eagle,,1623-01-01,purser,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
69,,,P,Thomas,Crowch,Thomas Crowch,Defence,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
70,,,C,John,Cumberland,John Cumberland,,,1609-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
71,LMA Microfilm,,C,Henry,Darnam,Henry Darnam,,1608-03-07,1611-04-08,,,,,,,,,,,,,,,,,,
72,,need to locate,C,John,Davies,John Davies,Bull,,1622-01-01,gunner,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
73,,11/141/753,P,John ,Davis ,John Davis,Lesser James,,1623-06-28,pilot,,,,,,,,,,,,,,,,,
74,latin,11/105/437,P,John,Davies,John Davies,,,1605-06-05,,,,,,,,,,,,,,,,,,
75,,,C,Robert,Davis,Robert Davis,,,1613-01-01,,,,alternate last name: Davies;probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
76,LMA Microfilm,,C,Thomas,Davis,Thomas Davis,Floriander,1612-01-20,1617-07-17,,,,unsure ship name: Floriander; additional ship: Hollander,,,,,,,,,,,,,,
77,LMA Microfilm,,C,Thomas,Davis,Thomas Davis,James,1617-08-14,1618-09-18,,,,,,,,,,,,,,,,,,
78,,,C,Francis,Davis,Francis Davis,Exchange,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
79,,,C,Thomas,Dyne,Thomas Dyne,Diamond,,1624-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
80,,,C,Constantine,Eackles,Constantine Eackles,,1614-06-25,1615-09-21,,,,alternate last name: Eccles,,,,,,,,,,,,,,
81,,,C,Thomas,Eley,Thomas Eley,Expedition,,1617-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
82,,,C,Jeofrey,Elford,Jeofrey Elford,Charles,1618-04-25,1618-09-15,,,,alternate last name: Ilford,,,,,,,,,,,,,,
83,,,P,John,Elger,John Elger,Blessing,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
