"http://purl.org/dc/elements/1.1/title","http://purl.org/dc/elements/1.1/creator","http://purl.org/dc/elements/1.1/date","http://purl.org/dc/elements/1.1/type","http://purl.org/dc/elements/1.1/source","https://tropy.org/v1/tropy#collection","https://tropy.org/v1/tropy#box","https://tropy.org/v1/tropy#folder","http://purl.org/dc/elements/1.1/identifier","http://purl.org/dc/elements/1.1/rights","https://tropy.org/v1/tropy#tag","https://tropy.org/v1/tropy#path","https://tropy.org/v1/tropy#note","https://tropy.org/v1/tropy#path","https://tropy.org/v1/tropy#note","https://tropy.org/v1/tropy#path","https://tropy.org/v1/tropy#note","https://tropy.org/v1/tropy#path","https://tropy.org/v1/tropy#note"
"Abett, Robert","","","","","","","","","","Eagle, PCC, Bosn's Mate","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/3e037175b3b7839a29a0af7b972a8fc5.pdf","Testator: Robert Abett  --- Date of Will:  --- Date of Probate: 1629-01-01  --- Reference: 11/156/157"
"Acton, Robert","","","","","","","","","","P, Dragon","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/1bd6aa8e805abdcf11f00f61fcf6bb81.pdf","Reference: 11/123/677 --- Testator: Robert Acton --- Date of Will: 1613-07-24 --- Date of Probate: 1614-07-11"
"Addecot, Thomas","","","","","","","","","","P, Dragon","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/a8e1e57819606eb0870bb0045505fa81.pdf","Reference: 11/131/377 --- Testator: Thomas Addecot --- Date of Will: 1616-02-25 --- Date of Probate: 1618-04-13"
"Amesse, Abell","","","","","","","","","","C","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/a236fc97de898859678cb260f6e3abfd.pdf","Testator: Abell Amesse --- Date of Will: 1617-08-22 --- Date of Probate: 1618-09-09 --- Alternate last name: Ames --- Reference: "
"Androwes, Edward","","","","","","","","","","P, Dragon","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/7abe382992ca6fc4f20a55f9de701f27.pdf","Reference: 11/107/385 --- Testator: Edward Androwes --- Date of Will: 1605-02-20 --- Date of Probate: 1606-06-12"
"Ashley, William","","","","","","","","","","P, London","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/b638ba0225152b4d20119c3cbb465ab8.pdf","Reference: 11/153/275 --- Testator: William Ashley --- Date of Will: --- Date of Probate: 1628-02-28"
"Atkins, John","","","","","","","","","","P, Ascension","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/010b501d35eb6b380ea818b74c3a7c6b.pdf","Testator: John Atkins --- Date of Will: 1602-11-20 --- Date of Probate: 1603-06-24"
"Austine, John","","","","","","","","","","P","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/7b58eeddc32f8432ad2e18e0873ac437.pdf","Testator: John Austine/Austin --- Date of Will: 1616-05-20 --- Date of Probate: 1617-07-24 --- Reference: 11/130/167"
"Baber, John","","","","","","","","","","P, Peppercorn","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/a46492f756d8338d9185462872cd215f.pdf","Testator: John Baber --- Date of Will: 1610-02-09 --- Date of Probate: 1613-12-16"
"Badger, Thomas","","","","","","","","","","P, Discovery","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/48e669da7fad24f848ad3f9a126eb194.pdf","Reference:","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/48e669da7fad24f848ad3f9a126eb194.pdf","","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/48e669da7fad24f848ad3f9a126eb194.pdf","Testator: Thomas Badger --- Date of Will: --- Date of Probate: 1625-01-01"
"Baily, Thomas","","","","","","","","","","P, New Year's Gift, Sailor","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/483c2005da2ca78759b59bfaf344a25c.pdf","Reference: 11/130/161 --- Testator: Thomas Baily --- Date of Will: 1616-05-12 --- 1617-07-22"
"Baines, Alexander","","","","","","","","","","P, James Royal","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/40d058d6c12fe3a7f83439c15a45a3bf.pdf","Testator: Alexander Baines --- Date of Will: --- Date of Probate: 1621-01-01"
"Bainham, John","","","","","","","","","","C, James","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/bf4acf553e2916e03acf75df51fa37a1.pdf","Reference: --- Testator: John Bainham --- Date of Will: --- Date of Probate: 1620-01-01"
"Baker, Ffrauncis","","","","","","","","","","C","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/a4cea05bbd0901b99808029b3e0b8cd8.pdf","Reference: --- Testator: Ffrauncis Baker --- Date of Will: 1617-05-02 --- Date of Probate: 1618-09-12"
"Baker, Richard","","","","","","","","","","P, Dragon","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/410259a55e37bc1896ec66ef822469a0.pdf","Reference: --- Testator: Richard Baker --- Date of Will: 1616-06-27 --- Date of Probate: 1617-10-20"
"Bantam, Edward","","","","","","","","","","P, Clove","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/9f7284fadd9bca4af89acc5318bc16fb.pdf","Reference: --- Testator: Edward Bantam --- Date of Will: 1614-02-13 --- Date of Probate: 1614-12-17"
"Barley, John","","","","","","","","","","C, James","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/167d7da448d743904040ccbd147fb2ad.pdf","Reference:  --- Testator: John Barley --- Date of Will: 1617-09-18 --- Date of Probate: 1618-09-22"
"Barlowe, Richard","","","","","","","","","","P, Dragon","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/f5b783085a9319e5617b2d9f23f74fec.pdf","Reference: 11/102/227v --- Testator: Richard Barlowe --- Date of Will: 1603-07-08 --- Date of Probate: 1603-10-25"
"Barnes, Stephen","","","","","","","","","","C","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/79f27accb9b498aa8fe03674905d9e4c.pdf","Reference:  --- Testator: Stephen Barnes --- Date of Will:  --- Date of Probate: 1625-01-01 --- Extra Name: Ethoned"
"Barrow, Peter","","","","","","","","","","P, Bosn's Mate, Discovery","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/70a47443120256f983e09d5a90452daa.pdf","Reference: 11/147/593 --- Testator: Peter Barrow --- Date of Will: --- Date of Probate: 1625-12-593 --- Alternate Last Name: Barow","/home/cvillami/Downloads/HeySaylor Project.tropy-20250516T194930Z-1-001/HeySaylor Project.tropy/assets/70a47443120256f983e09d5a90452daa.pdf",""
